學校代碼,登入次數,完成老師指派測驗卷數,自我測驗卷數,完成老師指派影片數,自我點播影片數,累積影片總時數,學生編號
084515,42,3,65,8,21,01:04:03,084515_s00001
084515,1,0,0,0,0,00:00:00,084515_s00002
084515,7,1,4,0,1,00:00:25,084515_s00003
084515,56,1,84,0,5,01:28:31,084515_s00004
084515,3,0,3,0,0,00:00:00,084515_s00005
084515,9,1,1,0,1,00:02:35,084515_s00006
084515,2,0,0,0,0,00:00:00,084515_s00007
084515,1,0,0,0,0,00:00:00,084515_s00008
084515,1,0,0,0,0,00:00:00,084515_s00009
084515,1,0,0,0,0,00:00:00,084515_s00010
084515,10,0,12,0,0,00:00:00,084515_s00011
084515,1,0,0,0,0,00:00:00,084515_s00012
084515,1,0,0,0,0,00:00:00,084515_s00013
084515,1,0,0,0,0,00:00:00,084515_s00014
084515,4,0,4,0,0,00:00:00,084515_s00015
084515,35,0,59,0,0,00:00:00,084515_s00016
084515,1,0,0,0,0,00:00:00,084515_s00017
084515,1,0,0,0,0,00:00:00,084515_s00018
084515,2,0,0,0,0,00:00:00,084515_s00019
084515,1,0,0,0,0,00:00:00,084515_s00020
084515,5,0,1,0,0,00:00:00,084515_s00021
084515,12,0,3,0,2,00:14:06,084515_s00022
084515,54,1,117,0,6,01:20:07,084515_s00023
084515,1,0,0,0,0,00:00:00,084515_s00024
084515,1,0,0,0,0,00:00:00,084515_s00025
084515,2,0,0,0,0,00:00:00,084515_s00026
084515,1,0,0,0,0,00:00:00,084515_s00027
084515,1,0,0,0,0,00:00:00,084515_s00028
084515,1,0,0,0,0,00:00:00,084515_s00029
084515,1,0,0,0,0,00:00:00,084515_s00030
084515,1,0,0,0,0,00:00:00,084515_s00031
084515,1,0,0,0,0,00:00:00,084515_s00032
084515,1,0,0,0,0,00:00:00,084515_s00033
084515,1,0,0,0,0,00:00:00,084515_s00034
084515,1,0,0,0,0,00:00:00,084515_s00035
084515,28,1,27,0,0,00:00:00,084515_s00036
084515,1,0,2,0,0,00:00:00,084515_s00037
084515,39,0,16,0,12,00:09:30,084515_s00038
084515,32,0,14,0,5,00:02:39,084515_s00039
084515,2,0,3,0,0,00:00:00,084515_s00040
084515,3,0,2,0,0,00:00:00,084515_s00041
084515,3,0,8,0,0,00:00:00,084515_s00042
084515,9,0,7,1,4,00:13:17,084515_s00043
084515,2,0,1,0,1,00:00:18,084515_s00044
084515,4,0,0,1,0,00:00:11,084515_s00045
084515,1,0,1,0,0,00:00:00,084515_s00046
084515,1,0,0,0,0,00:00:00,084515_s00047
084515,1,0,0,0,0,00:00:00,084515_s00048
084515,11,2,0,2,12,00:46:27,084515_s00049
084515,12,2,1,3,18,01:54:43,084515_s00050
084515,63,2,46,4,22,00:47:44,084515_s00051
084515,10,0,1,2,27,01:19:57,084515_s00052
084515,18,1,3,3,33,02:30:05,084515_s00053
084515,13,0,2,3,15,01:53:58,084515_s00054
084515,12,1,3,2,17,01:12:31,084515_s00055
084515,12,0,0,3,17,01:09:52,084515_s00056
084515,9,3,0,2,12,01:05:13,084515_s00057
084515,66,0,53,5,76,03:11:36,084515_s00058
084515,11,0,0,3,17,00:55:07,084515_s00059
084515,26,3,8,8,25,03:40:49,084515_s00060
084515,10,1,4,8,14,01:02:42,084515_s00061
084515,12,1,0,5,14,00:53:52,084515_s00062
084515,11,1,1,4,14,01:51:02,084515_s00063
084515,14,0,0,5,9,01:31:52,084515_s00064
084515,13,0,0,2,12,01:13:41,084515_s00065
084515,14,0,0,0,15,01:22:09,084515_s00066
084515,102,3,54,8,116,15:50:54,084515_s00067
084515,12,1,2,2,14,01:52:41,084515_s00068
084515,1,0,0,0,0,00:00:00,084515_s00069
084515,27,0,27,0,9,00:55:55,084515_s00070
084515,1,0,0,0,0,00:00:00,084515_s00071
084515,2,0,0,0,0,00:00:00,084515_s00072
084515,1,0,0,0,0,00:00:00,084515_s00073
084515,2,0,0,0,0,00:00:00,084515_s00074
084515,1,0,0,0,0,00:00:00,084515_s00075
084515,1,0,0,0,0,00:00:00,084515_s00076
084515,1,0,0,0,0,00:00:00,084515_s00077
084515,1,0,0,0,0,00:00:00,084515_s00078
084515,1,0,0,0,0,00:00:00,084515_s00079
084515,1,0,0,0,0,00:00:00,084515_s00080
084515,1,0,0,0,0,00:00:00,084515_s00081
084515,2,0,0,0,0,00:00:00,084515_s00082
084515,1,0,0,0,0,00:00:00,084515_s00083
084515,1,0,0,0,0,00:00:00,084515_s00084
084515,1,0,0,0,0,00:00:00,084515_s00085
084515,1,0,0,0,0,00:00:00,084515_s00086
084515,13,2,0,1,13,00:55:10,084515_s00087
084515,6,0,0,0,12,00:37:50,084515_s00088
084515,7,0,0,3,10,00:41:02,084515_s00089
084515,0,0,0,0,0,00:00:00,084515_s00090
