學校代碼,登入次數,完成老師指派測驗卷數,自我測驗卷數,完成老師指派影片數,自我點播影片數,累積影片總時數,學生編號
084523,5,0,0,17,1,00:39:34,084523_s00001
084523,5,0,0,2,0,00:42:20,084523_s00002
084523,8,5,0,3,0,00:36:42,084523_s00003
084523,4,0,0,1,0,00:12:34,084523_s00004
084523,5,0,0,5,0,00:19:26,084523_s00005
084523,6,3,0,2,0,00:13:11,084523_s00006
084523,5,0,0,5,0,00:47:35,084523_s00007
084523,24,15,0,3,0,00:22:12,084523_s00008
084523,15,10,0,3,1,00:40:34,084523_s00009
084523,30,17,0,5,1,00:27:17,084523_s00010
084523,28,25,0,11,0,00:00:09,084523_s00011
084523,25,15,0,7,0,00:29:28,084523_s00012
084523,10,7,0,10,0,00:03:51,084523_s00013
084523,4,8,0,1,0,00:00:00,084523_s00014
084523,7,5,0,2,0,00:07:29,084523_s00015
084523,19,8,0,1,0,00:00:59,084523_s00016
084523,7,16,0,2,0,00:06:34,084523_s00017
084523,7,13,0,0,0,00:00:00,084523_s00018
084523,5,10,0,1,0,00:53:12,084523_s00019
084523,4,6,0,0,0,00:00:00,084523_s00020
084523,6,8,0,1,0,00:09:35,084523_s00021
084523,4,5,0,0,0,00:00:00,084523_s00022
084523,8,15,0,2,0,00:04:00,084523_s00023
084523,4,2,0,0,0,00:00:00,084523_s00024
084523,9,6,0,2,0,00:00:06,084523_s00025
084523,10,33,0,11,0,00:00:31,084523_s00026
084523,0,0,0,0,0,00:00:00,084523_s00027
084523,0,0,0,0,0,00:00:00,084523_s00028
084523,0,0,0,0,0,00:00:00,084523_s00029
084523,0,0,0,0,0,00:00:00,084523_s00030
084523,0,0,0,0,0,00:00:00,084523_s00031
084523,0,0,0,0,0,00:00:00,084523_s00032
084523,0,0,0,0,0,00:00:00,084523_s00033
084523,0,0,0,0,0,00:00:00,084523_s00034
084523,0,0,0,0,0,00:00:00,084523_s00035
