學校代碼,登入次數,完成老師指派測驗卷數,自我測驗卷數,完成老師指派影片數,自我點播影片數,累積影片總時數,學生編號
084521,70,16,9,0,57,07:11:34,084521_s00001
084521,31,13,0,0,0,00:00:00,084521_s00002
084521,52,14,1,1,1,00:28:48,084521_s00003
084521,3,0,0,0,0,00:00:00,084521_s00004
084521,36,16,0,0,0,00:00:00,084521_s00005
084521,28,18,0,0,1,00:00:02,084521_s00006
084521,40,13,1,1,1,00:00:06,084521_s00007
084521,32,19,0,0,0,00:00:00,084521_s00008
084521,28,17,0,0,0,00:00:00,084521_s00009
084521,41,15,0,1,0,00:24:07,084521_s00010
084521,69,17,0,0,1,00:00:00,084521_s00011
084521,3,0,0,0,0,00:00:00,084521_s00012
084521,42,16,0,0,0,00:00:00,084521_s00013
084521,6,6,0,0,0,00:00:00,084521_s00014
084521,79,17,2,0,55,07:11:38,084521_s00015
084521,3,0,0,0,0,00:00:00,084521_s00016
084521,3,0,0,0,0,00:00:00,084521_s00017
084521,3,0,0,0,0,00:00:00,084521_s00018
084521,42,17,0,0,0,00:00:00,084521_s00019
084521,46,16,11,0,0,00:00:00,084521_s00020
084521,40,15,1,1,0,00:00:02,084521_s00021
084521,42,17,0,0,0,00:00:00,084521_s00022
084521,48,17,17,0,5,00:24:13,084521_s00023
084521,47,18,0,1,0,00:01:49,084521_s00024
084521,17,14,0,0,1,00:00:00,084521_s00025
084521,66,17,0,0,0,00:00:00,084521_s00026
084521,42,16,0,0,0,00:00:00,084521_s00027
084521,69,17,0,0,0,00:00:00,084521_s00028
084521,33,18,0,1,2,00:00:00,084521_s00029
084521,42,17,31,1,1,00:03:06,084521_s00030
084521,65,17,0,0,0,00:00:00,084521_s00031
084521,58,17,0,0,0,00:00:00,084521_s00032
084521,8,9,0,1,3,00:57:51,084521_s00033
084521,56,16,0,0,1,00:00:00,084521_s00034
084521,48,36,1,85,4,08:18:59,084521_s00035
084521,76,36,1,80,1,04:35:32,084521_s00036
084521,75,36,0,72,3,06:03:59,084521_s00037
084521,108,37,0,71,0,06:45:37,084521_s00038
084521,73,36,6,68,1,08:06:40,084521_s00039
084521,96,37,0,80,0,12:03:26,084521_s00040
084521,67,33,0,66,0,05:13:33,084521_s00041
084521,64,34,2,74,6,10:29:18,084521_s00042
084521,176,35,94,39,169,19:36:57,084521_s00043
084521,62,37,9,66,1,09:39:49,084521_s00044
084521,57,36,1,71,0,06:29:26,084521_s00045
084521,54,23,1,66,0,05:58:59,084521_s00046
084521,74,33,2,63,0,05:37:08,084521_s00047
084521,68,38,0,76,4,07:01:45,084521_s00048
084521,53,37,0,74,0,10:31:05,084521_s00049
084521,67,36,2,70,0,06:06:05,084521_s00050
084521,94,38,2,78,16,10:57:55,084521_s00051
084521,60,35,0,69,0,06:40:42,084521_s00052
084521,101,37,0,72,21,07:52:47,084521_s00053
084521,86,35,3,69,14,06:32:56,084521_s00054
084521,76,36,3,77,7,09:24:32,084521_s00055
084521,59,36,0,69,0,05:48:14,084521_s00056
084521,67,26,0,65,13,07:13:03,084521_s00057
084521,82,36,8,79,45,08:12:56,084521_s00058
084521,72,38,0,74,0,13:52:43,084521_s00059
084521,58,38,2,81,9,12:32:51,084521_s00060
084521,49,36,5,75,3,06:32:29,084521_s00061
084521,68,36,0,71,3,07:38:39,084521_s00062
084521,96,32,4,67,13,08:40:02,084521_s00063
084521,82,38,1,72,17,11:18:02,084521_s00064
084521,80,35,13,73,17,06:40:26,084521_s00065
084521,52,31,3,72,2,05:34:15,084521_s00066
084521,64,37,19,49,1,08:54:20,084521_s00067
084521,97,33,10,65,26,08:53:18,084521_s00068
084521,70,38,0,71,8,09:18:23,084521_s00069
084521,44,14,1,57,0,05:48:18,084521_s00070
084521,35,19,0,62,0,11:00:13,084521_s00071
084521,54,37,2,78,2,09:35:20,084521_s00072
084521,29,18,1,0,0,00:00:00,084521_s00073
084521,59,15,5,0,0,00:00:00,084521_s00074
084521,47,24,17,0,0,00:00:00,084521_s00075
084521,70,22,1,0,1,00:00:00,084521_s00076
084521,48,16,1,0,0,00:00:00,084521_s00077
084521,89,44,1,3,3,00:31:51,084521_s00078
084521,79,26,1,0,0,00:00:00,084521_s00079
084521,135,26,0,0,0,00:00:00,084521_s00080
084521,97,19,6,0,4,00:11:15,084521_s00081
084521,85,30,13,0,0,00:00:00,084521_s00082
084521,120,39,0,2,13,03:53:13,084521_s00083
084521,33,13,1,1,0,00:00:00,084521_s00084
084521,76,26,13,3,4,00:44:31,084521_s00085
084521,80,43,0,0,0,00:00:00,084521_s00086
084521,71,31,4,0,0,00:00:00,084521_s00087
084521,85,27,0,0,0,00:00:00,084521_s00088
084521,88,41,3,3,0,00:18:33,084521_s00089
084521,119,46,0,2,2,00:15:33,084521_s00090
084521,39,19,1,0,0,00:00:00,084521_s00091
084521,29,16,3,0,1,00:00:00,084521_s00092
084521,37,18,17,0,2,00:21:47,084521_s00093
084521,37,16,3,0,0,00:00:00,084521_s00094
084521,48,14,22,0,0,00:00:00,084521_s00095
084521,96,39,6,0,0,00:00:00,084521_s00096
084521,66,17,36,0,1,00:00:17,084521_s00097
084521,45,15,16,0,2,00:05:31,084521_s00098
084521,95,46,0,2,0,00:14:37,084521_s00099
084521,84,46,0,3,0,00:31:51,084521_s00100
084521,38,16,17,0,2,00:00:17,084521_s00101
084521,29,16,4,0,0,00:00:00,084521_s00102
084521,67,16,6,1,2,00:02:07,084521_s00103
084521,28,15,0,0,0,00:00:00,084521_s00104
084521,24,17,5,1,1,00:00:07,084521_s00105
084521,36,17,0,1,0,00:03:18,084521_s00106
084521,63,36,0,2,0,00:08:21,084521_s00107
084521,12,10,0,0,1,00:00:00,084521_s00108
084521,42,18,7,0,1,00:00:00,084521_s00109
084521,64,32,0,72,0,06:36:03,084521_s00110
084521,62,27,0,68,0,05:16:18,084521_s00111
084521,24,11,3,0,0,00:00:00,084521_s00112
084521,64,37,0,75,0,10:00:30,084521_s00113
084521,95,27,0,67,3,09:05:20,084521_s00114
084521,92,36,2,84,0,07:57:02,084521_s00115
084521,48,18,0,1,1,00:00:00,084521_s00116
084521,31,16,0,0,0,00:00:00,084521_s00117
084521,30,16,0,0,0,00:00:00,084521_s00118
084521,34,10,3,0,0,00:00:00,084521_s00119
084521,0,0,0,0,0,00:00:00,084521_s00120
084521,0,0,0,0,0,00:00:00,084521_s00121
084521,0,0,0,0,0,00:00:00,084521_s00122
084521,0,0,0,0,0,00:00:00,084521_s00123
084521,0,0,0,0,0,00:00:00,084521_s00124
084521,0,0,0,0,0,00:00:00,084521_s00125
084521,0,0,0,0,0,00:00:00,084521_s00126
084521,0,0,0,0,0,00:00:00,084521_s00127
084521,0,0,0,0,0,00:00:00,084521_s00128
084521,0,0,0,0,0,00:00:00,084521_s00129
084521,0,0,0,0,0,00:00:00,084521_s00130
084521,0,0,0,0,0,00:00:00,084521_s00131
084521,0,0,0,0,0,00:00:00,084521_s00132
084521,0,0,0,0,0,00:00:00,084521_s00133
084521,0,0,0,0,0,00:00:00,084521_s00134
084521,0,0,0,0,0,00:00:00,084521_s00135
084521,0,0,0,0,0,00:00:00,084521_s00136
084521,0,0,0,0,0,00:00:00,084521_s00137
