學校代碼,登入次數,完成老師指派測驗卷數,自我測驗卷數,完成老師指派影片數,自我點播影片數,累積影片總時數,學生編號
084507,7,0,1,0,1,00:00:08,084507_s00001
084507,4,1,2,0,2,00:00:08,084507_s00002
084507,3,0,0,0,1,00:00:05,084507_s00003
084507,4,1,1,0,4,00:16:06,084507_s00004
084507,4,2,1,0,0,00:00:00,084507_s00005
084507,7,2,1,0,6,00:45:31,084507_s00006
084507,6,2,3,0,0,00:00:00,084507_s00007
084507,15,4,13,0,5,00:37:28,084507_s00008
084507,5,3,0,0,1,00:05:11,084507_s00009
084507,4,2,0,0,0,00:00:00,084507_s00010
084507,3,2,0,0,0,00:00:00,084507_s00011
084507,3,3,0,0,1,00:04:51,084507_s00012
084507,12,2,17,0,1,00:00:19,084507_s00013
084507,2,1,0,0,2,00:07:07,084507_s00014
084507,2,1,0,0,1,00:00:00,084507_s00015
084507,3,3,0,0,0,00:00:00,084507_s00016
084507,2,1,0,0,0,00:00:00,084507_s00017
084507,3,2,0,0,0,00:00:00,084507_s00018
084507,2,1,0,0,0,00:00:00,084507_s00019
084507,1,0,0,0,0,00:00:00,084507_s00020
084507,24,4,3,0,31,02:23:24,084507_s00021
084507,3,1,0,0,0,00:00:00,084507_s00022
084507,3,2,0,0,0,00:00:00,084507_s00023
084507,2,1,0,0,0,00:00:00,084507_s00024
084507,1,0,0,0,0,00:00:00,084507_s00025
084507,6,1,0,0,0,00:00:00,084507_s00026
084507,2,0,0,0,0,00:00:00,084507_s00027
084507,1,0,0,0,0,00:00:00,084507_s00028
084507,2,0,0,0,2,00:00:14,084507_s00029
084507,2,0,2,0,0,00:00:00,084507_s00030
084507,2,0,3,0,0,00:00:00,084507_s00031
084507,2,0,3,0,2,00:01:14,084507_s00032
084507,2,0,0,0,2,00:06:22,084507_s00033
084507,2,0,0,0,8,00:07:20,084507_s00034
084507,24,0,3,0,70,11:05:42,084507_s00035
084507,4,0,1,0,4,00:12:28,084507_s00036
084507,3,0,0,0,1,00:08:05,084507_s00037
084507,2,0,0,0,1,00:00:29,084507_s00038
084507,3,0,4,0,0,00:00:00,084507_s00039
084507,1,0,0,0,0,00:00:00,084507_s00040
084507,2,0,0,0,2,00:21:57,084507_s00041
084507,2,0,0,0,3,00:47:10,084507_s00042
084507,2,0,0,0,6,00:10:58,084507_s00043
