學校代碼,登入次數,完成老師指派測驗卷數,自我測驗卷數,完成老師指派影片數,自我點播影片數,累積影片總時數,學生編號
084528,3,1,0,1,1,00:05:57,084528_s00001
084528,2,1,1,0,0,00:00:00,084528_s00002
084528,2,1,1,0,0,00:00:00,084528_s00003
084528,5,1,0,0,0,00:00:00,084528_s00004
084528,2,1,0,0,0,00:00:00,084528_s00005
084528,2,1,3,0,0,00:00:00,084528_s00006
084528,2,1,3,0,1,00:00:12,084528_s00007
084528,2,1,0,0,0,00:00:00,084528_s00008
084528,5,1,0,0,0,00:00:00,084528_s00009
084528,5,1,0,0,0,00:00:00,084528_s00010
084528,2,1,0,0,0,00:00:00,084528_s00011
084528,5,1,1,0,2,00:00:07,084528_s00012
084528,2,1,4,0,1,00:02:46,084528_s00013
084528,5,1,2,0,0,00:00:00,084528_s00014
084528,2,1,1,0,0,00:00:00,084528_s00015
084528,2,1,0,0,1,00:05:55,084528_s00016
084528,2,1,0,0,0,00:00:00,084528_s00017
084528,5,1,1,0,0,00:00:00,084528_s00018
084528,2,1,0,1,1,00:18:49,084528_s00019
084528,2,1,0,1,2,00:15:40,084528_s00020
084528,1,0,0,0,0,00:00:00,084528_s00021
084528,1,0,0,0,0,00:00:00,084528_s00022
084528,1,0,0,0,0,00:00:00,084528_s00023
084528,2,1,0,1,1,00:19:01,084528_s00024
084528,1,0,0,0,0,00:00:00,084528_s00025
084528,2,1,0,1,1,00:19:11,084528_s00026
084528,1,0,0,0,0,00:00:00,084528_s00027
084528,2,1,0,0,0,00:00:00,084528_s00028
084528,2,1,0,1,0,00:10:07,084528_s00029
084528,2,1,0,0,2,00:10:08,084528_s00030
084528,2,1,0,0,1,00:07:35,084528_s00031
084528,2,1,2,1,0,00:16:32,084528_s00032
084528,6,2,0,1,2,00:21:47,084528_s00033
084528,2,1,1,1,0,00:19:14,084528_s00034
084528,2,1,0,1,0,00:19:52,084528_s00035
084528,1,0,0,0,0,00:00:00,084528_s00036
084528,2,1,0,1,0,00:19:51,084528_s00037
084528,2,1,0,1,0,00:17:43,084528_s00038
084528,2,1,0,1,0,00:07:21,084528_s00039
084528,2,1,0,1,0,00:17:56,084528_s00040
084528,2,1,0,1,0,00:15:55,084528_s00041
084528,1,0,1,0,0,00:00:00,084528_s00042
084528,2,1,0,1,0,00:11:39,084528_s00043
084528,2,1,0,1,1,00:35:08,084528_s00044
084528,2,1,0,1,0,00:21:38,084528_s00045
084528,1,0,0,0,0,00:00:00,084528_s00046
084528,2,1,0,1,0,00:19:37,084528_s00047
084528,2,1,0,1,1,00:17:01,084528_s00048
084528,2,1,0,1,0,00:12:37,084528_s00049
084528,1,0,0,0,0,00:00:00,084528_s00050
084528,1,0,0,1,0,00:28:37,084528_s00051
084528,1,0,0,1,0,00:12:46,084528_s00052
084528,2,1,0,0,0,00:00:00,084528_s00053
084528,2,1,1,0,0,00:00:00,084528_s00054
084528,2,1,0,0,0,00:00:00,084528_s00055
084528,2,1,3,0,0,00:00:00,084528_s00056
084528,2,1,0,0,0,00:00:00,084528_s00057
084528,2,1,3,0,0,00:00:00,084528_s00058
