學校代碼,登入次數,完成老師指派測驗卷數,自我測驗卷數,完成老師指派影片數,自我點播影片數,累積影片總時數,學生編號
084532,3,1,0,0,0,00:00:00,084532_s00001
084532,19,1,4,0,26,03:45:34,084532_s00002
084532,2,1,0,0,0,00:00:00,084532_s00003
084532,2,1,0,0,0,00:00:00,084532_s00004
084532,4,1,0,0,0,00:00:00,084532_s00005
084532,2,1,0,0,0,00:00:00,084532_s00006
084532,3,1,0,0,0,00:00:00,084532_s00007
084532,3,1,0,0,0,00:00:00,084532_s00008
084532,2,1,0,0,0,00:00:00,084532_s00009
084532,3,1,0,0,0,00:00:00,084532_s00010
084532,2,1,0,0,0,00:00:00,084532_s00011
084532,3,1,0,0,0,00:00:00,084532_s00012
084532,3,1,0,0,0,00:00:00,084532_s00013
084532,3,1,0,0,0,00:00:00,084532_s00014
084532,3,1,0,0,0,00:00:00,084532_s00015
084532,3,1,0,0,0,00:00:00,084532_s00016
084532,3,1,0,0,0,00:00:00,084532_s00017
084532,2,1,0,0,0,00:00:00,084532_s00018
084532,4,2,0,1,0,00:08:24,084532_s00019
084532,4,2,0,1,0,00:04:22,084532_s00020
084532,5,2,0,1,0,00:04:43,084532_s00021
084532,5,2,0,1,0,00:11:59,084532_s00022
084532,4,2,0,1,0,00:01:40,084532_s00023
084532,4,2,0,1,0,00:01:25,084532_s00024
084532,4,2,0,1,0,00:11:59,084532_s00025
084532,4,2,0,1,0,00:00:01,084532_s00026
084532,7,2,0,1,0,00:00:04,084532_s00027
084532,4,2,0,1,1,00:14:48,084532_s00028
084532,4,2,0,1,0,00:02:00,084532_s00029
084532,5,2,0,1,0,00:01:46,084532_s00030
084532,5,2,0,1,0,00:05:28,084532_s00031
084532,4,2,0,1,0,00:06:23,084532_s00032
084532,5,2,0,1,0,00:04:17,084532_s00033
084532,4,2,0,1,0,00:04:40,084532_s00034
084532,4,2,0,1,0,00:06:44,084532_s00035
084532,5,2,0,1,0,00:03:22,084532_s00036
084532,4,2,0,1,0,00:01:38,084532_s00037
084532,4,2,0,1,1,00:00:56,084532_s00038
084532,5,2,0,1,0,00:01:46,084532_s00039
084532,4,1,0,0,0,00:00:00,084532_s00040
084532,4,2,0,1,0,00:06:18,084532_s00041
084532,3,2,0,0,0,00:00:00,084532_s00042
084532,4,3,0,1,0,00:04:17,084532_s00043
084532,5,3,0,1,0,00:02:25,084532_s00044
084532,4,3,0,1,0,00:03:14,084532_s00045
084532,5,3,0,1,0,00:03:03,084532_s00046
084532,4,3,0,1,0,00:02:13,084532_s00047
084532,4,3,0,1,0,00:04:55,084532_s00048
084532,7,2,0,1,0,00:02:14,084532_s00049
084532,4,3,0,1,0,00:04:18,084532_s00050
084532,4,3,0,1,0,00:00:01,084532_s00051
084532,5,3,0,1,0,00:00:00,084532_s00052
084532,4,3,0,1,0,00:03:58,084532_s00053
084532,4,3,0,1,0,00:03:36,084532_s00054
084532,8,3,0,1,2,00:02:40,084532_s00055
084532,4,3,0,1,0,00:02:12,084532_s00056
084532,3,2,0,1,0,00:02:06,084532_s00057
084532,4,2,0,1,0,00:00:10,084532_s00058
084532,4,3,0,1,0,00:00:16,084532_s00059
084532,4,3,0,1,0,00:03:46,084532_s00060
084532,5,2,0,1,0,00:04:24,084532_s00061
084532,4,3,0,1,0,00:00:01,084532_s00062
084532,4,2,0,1,0,00:04:24,084532_s00063
084532,4,3,0,1,0,00:03:46,084532_s00064
084532,4,1,1,1,0,00:08:10,084532_s00065
084532,4,1,1,1,0,00:07:00,084532_s00066
084532,4,1,1,1,0,00:02:05,084532_s00067
084532,4,1,2,1,0,00:13:56,084532_s00068
084532,4,1,1,1,0,00:12:44,084532_s00069
084532,4,1,1,1,0,00:00:36,084532_s00070
084532,3,1,1,1,0,00:06:45,084532_s00071
084532,4,1,1,1,0,00:06:03,084532_s00072
084532,5,1,1,1,0,00:07:21,084532_s00073
084532,4,1,0,1,0,00:05:12,084532_s00074
084532,4,1,1,1,0,00:04:21,084532_s00075
084532,6,1,2,1,0,00:06:03,084532_s00076
084532,4,1,1,1,0,00:09:39,084532_s00077
084532,1,0,0,0,0,00:00:00,084532_s00078
084532,3,1,0,1,0,00:06:00,084532_s00079
084532,4,1,1,1,0,00:07:44,084532_s00080
084532,4,1,1,1,0,00:10:05,084532_s00081
084532,4,1,1,1,0,00:07:59,084532_s00082
084532,4,1,1,1,0,00:05:17,084532_s00083
084532,5,1,1,1,3,00:08:31,084532_s00084
084532,5,1,0,1,0,00:09:31,084532_s00085
084532,4,1,1,1,0,00:01:34,084532_s00086
084532,4,1,3,1,2,00:04:30,084532_s00087
084532,4,1,1,1,0,00:04:32,084532_s00088
084532,4,1,2,1,0,00:08:00,084532_s00089
084532,7,1,1,1,0,00:07:27,084532_s00090
084532,4,1,1,1,1,00:07:27,084532_s00091
084532,4,1,1,1,0,00:05:20,084532_s00092
084532,4,1,1,1,0,00:06:28,084532_s00093
084532,3,1,1,1,0,00:00:49,084532_s00094
084532,3,1,3,1,0,00:09:20,084532_s00095
084532,5,1,1,1,0,00:14:40,084532_s00096
084532,4,1,1,1,0,00:08:47,084532_s00097
084532,3,0,0,1,0,00:07:21,084532_s00098
084532,3,0,0,2,0,00:07:15,084532_s00099
084532,2,0,0,0,0,00:00:00,084532_s00100
084532,2,0,0,0,0,00:00:00,084532_s00101
084532,2,0,0,0,0,00:00:00,084532_s00102
084532,3,0,0,1,0,00:07:26,084532_s00103
084532,3,0,0,2,0,00:07:47,084532_s00104
084532,3,0,0,1,0,00:10:53,084532_s00105
084532,4,0,0,2,0,00:14:41,084532_s00106
084532,1,0,0,0,0,00:00:00,084532_s00107
084532,2,0,0,0,0,00:00:00,084532_s00108
084532,2,0,0,1,0,00:07:51,084532_s00109
084532,3,0,0,1,0,00:15:49,084532_s00110
084532,6,2,0,0,1,00:00:38,084532_s00111
084532,5,1,0,0,0,00:00:00,084532_s00112
084532,8,2,0,0,0,00:00:00,084532_s00113
084532,5,1,0,1,0,00:00:02,084532_s00114
084532,6,2,0,0,0,00:00:00,084532_s00115
084532,10,2,0,1,0,00:00:00,084532_s00116
084532,5,1,0,1,0,00:00:00,084532_s00117
084532,8,2,0,6,0,00:27:14,084532_s00118
084532,8,2,0,0,0,00:00:00,084532_s00119
084532,6,2,0,0,0,00:00:00,084532_s00120
084532,6,2,0,0,0,00:00:00,084532_s00121
084532,6,2,0,2,0,00:00:02,084532_s00122
084532,5,1,0,0,0,00:00:00,084532_s00123
084532,5,0,0,0,0,00:00:00,084532_s00124
084532,6,2,0,0,0,00:00:00,084532_s00125
084532,8,2,0,0,0,00:00:00,084532_s00126
084532,7,1,0,2,0,00:00:11,084532_s00127
084532,7,2,0,2,0,00:17:38,084532_s00128
084532,6,2,0,1,0,00:00:02,084532_s00129
084532,7,2,0,0,0,00:00:00,084532_s00130
084532,7,2,0,1,0,00:00:08,084532_s00131
084532,8,2,0,0,0,00:00:00,084532_s00132
084532,9,2,0,0,0,00:00:00,084532_s00133
084532,6,2,0,0,0,00:00:00,084532_s00134
084532,6,2,0,0,0,00:00:00,084532_s00135
084532,6,2,0,1,0,00:07:45,084532_s00136
084532,13,2,0,18,0,00:20:45,084532_s00137
084532,7,2,0,1,0,00:05:36,084532_s00138
084532,6,1,0,1,0,00:07:54,084532_s00139
084532,6,2,0,1,0,00:07:27,084532_s00140
084532,7,2,0,2,0,00:19:10,084532_s00141
084532,6,2,0,2,0,00:07:40,084532_s00142
084532,6,2,0,1,0,00:02:48,084532_s00143
084532,10,1,0,6,0,00:13:48,084532_s00144
084532,6,2,0,1,0,00:03:50,084532_s00145
084532,7,2,0,1,0,00:04:57,084532_s00146
084532,7,0,0,5,2,00:17:34,084532_s00147
084532,13,2,0,4,0,00:50:46,084532_s00148
084532,8,1,0,4,1,00:27:47,084532_s00149
084532,6,2,0,1,0,00:03:32,084532_s00150
084532,21,2,0,11,0,03:46:44,084532_s00151
084532,15,1,0,9,2,01:46:35,084532_s00152
084532,8,2,0,1,0,00:06:28,084532_s00153
084532,7,2,0,1,0,00:06:21,084532_s00154
084532,7,2,0,1,0,00:03:58,084532_s00155
084532,9,2,0,3,0,00:07:04,084532_s00156
084532,6,2,0,1,0,00:00:19,084532_s00157
084532,7,2,0,1,0,00:04:51,084532_s00158
084532,5,1,0,0,0,00:00:00,084532_s00159
084532,8,2,0,1,0,00:02:26,084532_s00160
084532,10,2,0,7,0,00:01:05,084532_s00161
084532,3,0,0,0,0,00:00:00,084532_s00162
084532,6,2,0,1,0,00:02:22,084532_s00163
084532,3,2,0,1,0,00:00:38,084532_s00164
084532,4,2,0,1,0,00:00:12,084532_s00165
084532,3,2,0,1,0,00:04:34,084532_s00166
084532,2,1,0,1,0,00:02:49,084532_s00167
084532,4,2,0,1,0,00:03:52,084532_s00168
084532,4,2,0,1,0,00:03:45,084532_s00169
084532,4,2,0,1,0,00:01:25,084532_s00170
084532,3,2,0,1,0,00:04:54,084532_s00171
084532,3,1,0,0,0,00:00:00,084532_s00172
084532,3,1,0,0,0,00:00:00,084532_s00173
084532,4,2,0,1,0,00:02:45,084532_s00174
084532,3,2,0,1,0,00:04:16,084532_s00175
084532,7,2,0,1,1,00:06:09,084532_s00176
084532,4,2,0,1,0,00:09:02,084532_s00177
084532,3,2,0,1,0,00:04:42,084532_s00178
084532,3,2,0,1,0,00:04:15,084532_s00179
084532,3,2,0,1,0,00:05:06,084532_s00180
084532,3,2,0,1,0,00:06:31,084532_s00181
084532,4,1,0,1,0,00:00:07,084532_s00182
